Porcentaje de Susceptibles, Cantidad de Suceptibles, Porcentaje de Infectados, Cantidad de Infectados, Porcentaje de Recuperados, Cantidad de Recuperados, Porcentaje de Muertos, Cantidad de Muertos 
51.1495,2045979,26.7918,1071672,16.2089,648357,5.8498,233992
50.7811,2031246,26.8503,1074012,16.4353,657411,5.93328,237331
50.4183,2016730,26.8969,1075878,16.6719,666877,6.01288,240515
50.0515,2002061,26.9485,1077941,16.9041,676162,6.0959,243836
49.6899,1987597,26.9938,1079751,17.1372,685489,6.17908,247163
49.3223,1972893,27.0384,1081535,17.3749,694995,6.26443,250577
48.9573,1958293,27.0796,1083185,17.6127,704507,6.35037,254015
48.6004,1944015,27.1121,1084483,17.8534,714136,6.43415,257366
48.2415,1929659,27.1453,1085811,18.0918,723672,6.52145,260858
47.8794,1915177,27.1766,1087065,18.3351,733405,6.60883,264353
47.517,1900680,27.2136,1088544,18.576,743039,6.69343,267737
47.1548,1886193,27.247,1089880,18.8185,752739,6.7797,271188
46.794,1871761,27.2769,1091078,19.0633,762532,6.86573,274629
46.4415,1857661,27.2983,1091932,19.3055,772221,6.95465,278186
46.0827,1843310,27.3232,1092927,19.5504,782015,7.0437,281748
45.7267,1829068,27.3449,1093795,19.7979,791917,7.1305,285220
45.3735,1814940,27.3602,1094406,20.0479,801914,7.2185,288740
45.0209,1800835,27.3753,1095011,20.297,811880,7.30685,292274
44.6659,1786636,27.3917,1095669,20.5462,821849,7.39615,295846
44.311,1772440,27.4045,1096179,20.7971,831883,7.48745,299498
43.9578,1758312,27.4152,1096608,21.0473,841891,7.57972,303189
43.602,1744080,27.4237,1096949,21.3033,852130,7.67102,306841
43.2569,1730278,27.4251,1097002,21.5566,862266,7.76135,310454
42.901,1716040,27.4365,1097458,21.8103,872413,7.85222,314089
42.5532,1702128,27.4294,1097177,22.0726,882905,7.94475,317790
42.2054,1688215,27.4238,1096954,22.3311,893242,8.03973,321589
41.8592,1674369,27.422,1096880,22.5855,903420,8.13327,325331
41.5147,1660588,27.414,1096559,22.8464,913854,8.22497,328999
41.1692,1646769,27.4082,1096329,23.1046,924186,8.3179,332716
40.8261,1633044,27.3929,1095717,23.3694,934777,8.41155,336462
40.4778,1619113,27.3858,1095431,23.629,945160,8.5074,340296
40.1384,1605538,27.3702,1094809,23.8906,955624,8.60072,344029
39.8026,1592103,27.3455,1093819,24.1561,966242,8.6959,347836
39.4626,1578502,27.3325,1093298,24.4172,976687,8.78782,351513
